series,timestamp,value,label
acceleration,2017-07-31T01:25:00.000Z,0,
acceleration,2017-07-31T01:30:00.000Z,0,
acceleration,2017-07-31T01:35:00.000Z,0,
acceleration,2017-07-31T01:40:00.000Z,0,
acceleration,2017-07-31T01:45:00.000Z,0,
acceleration,2017-07-31T01:50:00.000Z,0,
acceleration,2017-07-31T01:55:00.000Z,0,
acceleration,2017-07-31T02:00:00.000Z,0,
acceleration,2017-07-31T02:05:00.000Z,0,
acceleration,2017-07-31T02:10:00.000Z,0,
acceleration,2017-07-31T02:15:00.000Z,0,
acceleration,2017-07-31T02:20:00.000Z,0,
acceleration,2017-07-31T02:25:00.000Z,0,
acceleration,2017-07-31T02:30:00.000Z,0,
acceleration,2017-07-31T02:35:00.000Z,0,
acceleration,2017-07-31T02:40:00.000Z,0,
acceleration,2017-07-31T02:45:00.000Z,2,
acceleration,2017-07-31T02:50:00.000Z,2,
acceleration,2017-07-31T02:55:00.000Z,0,
acceleration,2017-07-31T03:00:00.000Z,2,
acceleration,2017-07-31T03:05:00.000Z,6,
acceleration,2017-07-31T03:10:00.000Z,10,
acceleration,2017-07-31T03:15:00.000Z,2,
acceleration,2017-07-31T03:20:00.000Z,10,
acceleration,2017-07-31T03:25:00.000Z,4,
acceleration,2017-07-31T03:30:00.000Z,1,
acceleration,2017-07-31T03:35:00.000Z,0,
acceleration,2017-07-31T03:40:00.000Z,5,
acceleration,2017-07-31T03:45:00.000Z,3,
acceleration,2017-07-31T03:50:00.000Z,3,
acceleration,2017-07-31T03:55:00.000Z,7,
acceleration,2017-07-31T04:00:00.000Z,1,
acceleration,2017-07-31T04:05:00.000Z,0,
acceleration,2017-07-31T04:10:00.000Z,8,
acceleration,2017-07-31T04:15:00.000Z,6,
acceleration,2017-07-31T04:20:00.000Z,4,
acceleration,2017-07-31T04:25:00.000Z,0,
acceleration,2017-07-31T04:30:00.000Z,1,
acceleration,2017-07-31T04:35:00.000Z,0,
acceleration,2017-07-31T04:40:00.000Z,0,
acceleration,2017-07-31T04:45:00.000Z,0,
acceleration,2017-07-31T04:50:00.000Z,0,
acceleration,2017-07-31T04:55:00.000Z,14,
acceleration,2017-07-31T05:00:00.000Z,6,
acceleration,2017-07-31T05:05:00.000Z,5,
acceleration,2017-07-31T05:10:00.000Z,0,
acceleration,2017-07-31T05:15:00.000Z,8,
acceleration,2017-07-31T05:20:00.000Z,0,
acceleration,2017-07-31T05:25:00.000Z,0,
acceleration,2017-07-31T05:30:00.000Z,4,
acceleration,2017-07-31T05:35:00.000Z,2,
acceleration,2017-07-31T05:40:00.000Z,10,
acceleration,2017-07-31T05:45:00.000Z,1,
acceleration,2017-07-31T05:50:00.000Z,2,
acceleration,2017-07-31T05:55:00.000Z,0,
acceleration,2017-07-31T06:00:00.000Z,0,
acceleration,2017-07-31T06:05:00.000Z,0,
acceleration,2017-07-31T06:10:00.000Z,2,
acceleration,2017-07-31T06:15:00.000Z,44,
acceleration,2017-07-31T06:20:00.000Z,2,
acceleration,2017-07-31T06:25:00.000Z,1,
acceleration,2017-07-31T06:30:00.000Z,0,
acceleration,2017-07-31T06:35:00.000Z,0,
acceleration,2017-07-31T06:40:00.000Z,0,
acceleration,2017-07-31T06:45:00.000Z,3,
acceleration,2017-07-31T06:50:00.000Z,5,
acceleration,2017-07-31T06:55:00.000Z,0,
acceleration,2017-07-31T07:00:00.000Z,4,
acceleration,2017-07-31T07:05:00.000Z,0,
acceleration,2017-07-31T07:10:00.000Z,1,
acceleration,2017-07-31T07:15:00.000Z,1,
acceleration,2017-07-31T07:20:00.000Z,0,
acceleration,2017-07-31T07:25:00.000Z,0,
acceleration,2017-07-31T07:30:00.000Z,0,
acceleration,2017-07-31T07:35:00.000Z,1,
acceleration,2017-07-31T07:40:00.000Z,16,
acceleration,2017-07-31T07:45:00.000Z,0,
acceleration,2017-07-31T07:50:00.000Z,7,
acceleration,2017-07-31T07:55:00.000Z,5,
acceleration,2017-07-31T08:00:00.000Z,0,
acceleration,2017-07-31T08:05:00.000Z,1,
acceleration,2017-07-31T08:10:00.000Z,0,
acceleration,2017-07-31T08:15:00.000Z,0,
acceleration,2017-07-31T08:20:00.000Z,1,
acceleration,2017-07-31T08:25:00.000Z,0,
acceleration,2017-07-31T08:30:00.000Z,0,
acceleration,2017-07-31T08:35:00.000Z,0,
acceleration,2017-07-31T08:40:00.000Z,0,
acceleration,2017-07-31T08:45:00.000Z,6,
acceleration,2017-07-31T08:50:00.000Z,1,
acceleration,2017-07-31T08:55:00.000Z,0,
acceleration,2017-07-31T09:00:00.000Z,0,
acceleration,2017-07-31T09:05:00.000Z,0,
acceleration,2017-07-31T09:10:00.000Z,0,
acceleration,2017-07-31T09:15:00.000Z,0,
acceleration,2017-07-31T09:20:00.000Z,2,
acceleration,2017-07-31T09:25:00.000Z,1,
acceleration,2017-07-31T09:30:00.000Z,0,
acceleration,2017-07-31T09:35:00.000Z,7,
acceleration,2017-07-31T09:40:00.000Z,0,
acceleration,2017-07-31T09:45:00.000Z,8,
acceleration,2017-07-31T09:50:00.000Z,0,
acceleration,2017-07-31T09:55:00.000Z,0,
acceleration,2017-07-31T10:00:00.000Z,0,
acceleration,2017-07-31T10:05:00.000Z,0,
acceleration,2017-07-31T10:10:00.000Z,1,
acceleration,2017-07-31T10:15:00.000Z,0,
acceleration,2017-07-31T10:20:00.000Z,4,
acceleration,2017-07-31T10:25:00.000Z,1,
acceleration,2017-07-31T10:30:00.000Z,0,
acceleration,2017-07-31T10:35:00.000Z,0,
acceleration,2017-07-31T10:40:00.000Z,0,
acceleration,2017-07-31T10:45:00.000Z,0,
acceleration,2017-07-31T10:50:00.000Z,0,
acceleration,2017-07-31T10:55:00.000Z,3,
acceleration,2017-07-31T11:00:00.000Z,3,
acceleration,2017-07-31T11:05:00.000Z,2,
acceleration,2017-07-31T11:10:00.000Z,0,
acceleration,2017-07-31T11:15:00.000Z,0,
acceleration,2017-07-31T11:20:00.000Z,17,
acceleration,2017-07-31T11:25:00.000Z,0,
acceleration,2017-07-31T11:30:00.000Z,0,
acceleration,2017-07-31T11:35:00.000Z,0,
acceleration,2017-07-31T11:40:00.000Z,2,
acceleration,2017-07-31T11:45:00.000Z,4,
acceleration,2017-07-31T11:50:00.000Z,0,
acceleration,2017-07-31T11:55:00.000Z,0,
acceleration,2017-07-31T12:00:00.000Z,1,
acceleration,2017-07-31T12:05:00.000Z,1,
acceleration,2017-07-31T12:10:00.000Z,6,
acceleration,2017-07-31T12:15:00.000Z,1,
acceleration,2017-07-31T12:20:00.000Z,0,
acceleration,2017-07-31T12:25:00.000Z,0,
acceleration,2017-07-31T12:30:00.000Z,0,
acceleration,2017-07-31T12:35:00.000Z,0,
acceleration,2017-07-31T12:40:00.000Z,0,
acceleration,2017-07-31T12:45:00.000Z,2,
acceleration,2017-07-31T12:50:00.000Z,7,
acceleration,2017-07-31T12:55:00.000Z,2,
acceleration,2017-07-31T13:00:00.000Z,0,
acceleration,2017-07-31T13:05:00.000Z,0,
acceleration,2017-07-31T13:10:00.000Z,2,
acceleration,2017-07-31T13:15:00.000Z,0,
acceleration,2017-07-31T13:20:00.000Z,0,
acceleration,2017-07-31T13:25:00.000Z,0,
acceleration,2017-07-31T13:30:00.000Z,0,
acceleration,2017-07-31T13:35:00.000Z,0,
acceleration,2017-07-31T13:40:00.000Z,0,
acceleration,2017-07-31T13:45:00.000Z,5,
acceleration,2017-07-31T13:50:00.000Z,0,
acceleration,2017-07-31T13:55:00.000Z,0,
acceleration,2017-07-31T14:00:00.000Z,0,
acceleration,2017-07-31T14:05:00.000Z,0,
acceleration,2017-07-31T14:10:00.000Z,0,
acceleration,2017-07-31T14:15:00.000Z,0,
acceleration,2017-07-31T14:20:00.000Z,4,
acceleration,2017-07-31T14:25:00.000Z,6,
acceleration,2017-07-31T14:30:00.000Z,4,
acceleration,2017-07-31T14:35:00.000Z,1,
acceleration,2017-07-31T14:40:00.000Z,0,
acceleration,2017-07-31T14:45:00.000Z,0,
acceleration,2017-07-31T14:50:00.000Z,0,
acceleration,2017-07-31T14:55:00.000Z,0,
acceleration,2017-07-31T15:00:00.000Z,0,
acceleration,2017-07-31T15:05:00.000Z,0,
acceleration,2017-07-31T15:10:00.000Z,0,
acceleration,2017-07-31T15:15:00.000Z,0,
acceleration,2017-07-31T15:20:00.000Z,1,
acceleration,2017-07-31T15:25:00.000Z,1,
acceleration,2017-07-31T15:30:00.000Z,0,
acceleration,2017-07-31T15:35:00.000Z,0,
acceleration,2017-07-31T15:40:00.000Z,0,
acceleration,2017-07-31T15:45:00.000Z,0,
acceleration,2017-07-31T15:50:00.000Z,0,
acceleration,2017-07-31T15:55:00.000Z,0,
acceleration,2017-07-31T16:00:00.000Z,3,
acceleration,2017-07-31T16:05:00.000Z,0,
acceleration,2017-07-31T16:10:00.000Z,0,
acceleration,2017-07-31T16:15:00.000Z,0,
acceleration,2017-07-31T16:20:00.000Z,6,
acceleration,2017-07-31T16:25:00.000Z,4,
acceleration,2017-07-31T16:30:00.000Z,0,
acceleration,2017-07-31T16:35:00.000Z,1,
acceleration,2017-07-31T16:40:00.000Z,6,
acceleration,2017-07-31T16:45:00.000Z,1,
acceleration,2017-07-31T16:50:00.000Z,2,
acceleration,2017-07-31T16:55:00.000Z,0,
acceleration,2017-07-31T17:00:00.000Z,1,
acceleration,2017-07-31T17:05:00.000Z,1,
acceleration,2017-07-31T17:10:00.000Z,6,
acceleration,2017-07-31T17:15:00.000Z,1,
acceleration,2017-07-31T17:20:00.000Z,7,
acceleration,2017-07-31T17:25:00.000Z,4,
acceleration,2017-07-31T17:30:00.000Z,1,
acceleration,2017-07-31T17:35:00.000Z,1,
acceleration,2017-07-31T17:40:00.000Z,0,
acceleration,2017-07-31T17:45:00.000Z,1,
acceleration,2017-07-31T17:50:00.000Z,4,
acceleration,2017-07-31T17:55:00.000Z,4,
acceleration,2017-07-31T18:00:00.000Z,0,
acceleration,2017-07-31T18:05:00.000Z,2,
acceleration,2017-07-31T18:10:00.000Z,1,
acceleration,2017-07-31T18:15:00.000Z,5,
acceleration,2017-07-31T18:20:00.000Z,23,
acceleration,2017-07-31T18:25:00.000Z,0,
acceleration,2017-07-31T18:30:00.000Z,0,
acceleration,2017-07-31T18:35:00.000Z,0,
acceleration,2017-07-31T18:40:00.000Z,1,
acceleration,2017-07-31T18:45:00.000Z,0,
acceleration,2017-07-31T18:50:00.000Z,0,
acceleration,2017-07-31T18:55:00.000Z,0,
acceleration,2017-07-31T19:00:00.000Z,0,
acceleration,2017-07-31T19:05:00.000Z,0,
acceleration,2017-07-31T19:10:00.000Z,0,
acceleration,2017-07-31T19:15:00.000Z,0,
acceleration,2017-07-31T19:20:00.000Z,0,
acceleration,2017-07-31T19:25:00.000Z,0,
acceleration,2017-07-31T19:30:00.000Z,0,
acceleration,2017-07-31T19:35:00.000Z,0,
acceleration,2017-07-31T19:40:00.000Z,0,
acceleration,2017-07-31T19:45:00.000Z,0,
acceleration,2017-07-31T19:50:00.000Z,3,
acceleration,2017-07-31T19:55:00.000Z,2,
acceleration,2017-07-31T20:00:00.000Z,0,
acceleration,2017-07-31T20:05:00.000Z,0,
acceleration,2017-07-31T20:10:00.000Z,0,
acceleration,2017-07-31T20:15:00.000Z,0,
acceleration,2017-07-31T20:20:00.000Z,0,
acceleration,2017-07-31T20:25:00.000Z,0,
acceleration,2017-07-31T20:30:00.000Z,0,
acceleration,2017-07-31T20:35:00.000Z,0,
acceleration,2017-07-31T20:40:00.000Z,4,
acceleration,2017-07-31T20:45:00.000Z,0,
acceleration,2017-07-31T20:50:00.000Z,0,
acceleration,2017-07-31T20:55:00.000Z,0,
acceleration,2017-07-31T21:00:00.000Z,0,
acceleration,2017-07-31T21:05:00.000Z,0,
acceleration,2017-07-31T21:10:00.000Z,0,
acceleration,2017-07-31T21:15:00.000Z,0,
acceleration,2017-07-31T21:20:00.000Z,0,
acceleration,2017-07-31T21:25:00.000Z,0,
acceleration,2017-07-31T21:30:00.000Z,0,
acceleration,2017-07-31T21:35:00.000Z,0,
acceleration,2017-07-31T21:40:00.000Z,0,
acceleration,2017-07-31T21:45:00.000Z,0,
acceleration,2017-07-31T21:50:00.000Z,0,
acceleration,2017-07-31T21:55:00.000Z,0,
acceleration,2017-07-31T22:00:00.000Z,0,
acceleration,2017-07-31T22:05:00.000Z,0,
acceleration,2017-07-31T22:10:00.000Z,0,
acceleration,2017-07-31T22:15:00.000Z,0,
acceleration,2017-07-31T22:20:00.000Z,0,
acceleration,2017-07-31T22:25:00.000Z,0,
acceleration,2017-07-31T22:30:00.000Z,0,
acceleration,2017-07-31T22:35:00.000Z,0,
acceleration,2017-07-31T22:40:00.000Z,0,
acceleration,2017-07-31T22:45:00.000Z,0,
acceleration,2017-07-31T22:50:00.000Z,0,
acceleration,2017-07-31T22:55:00.000Z,0,
acceleration,2017-07-31T23:00:00.000Z,0,
acceleration,2017-07-31T23:05:00.000Z,1,
acceleration,2017-07-31T23:10:00.000Z,0,
acceleration,2017-07-31T23:15:00.000Z,0,
acceleration,2017-07-31T23:20:00.000Z,1,
acceleration,2017-07-31T23:25:00.000Z,8,
acceleration,2017-07-31T23:30:00.000Z,0,
acceleration,2017-07-31T23:35:00.000Z,0,
acceleration,2017-07-31T23:40:00.000Z,0,
acceleration,2017-07-31T23:45:00.000Z,0,
acceleration,2017-07-31T23:50:00.000Z,0,
acceleration,2017-07-31T23:55:00.000Z,0,
acceleration,2017-08-01T00:00:00.000Z,0,
acceleration,2017-08-01T00:05:00.000Z,0,
acceleration,2017-08-01T00:10:00.000Z,1,
acceleration,2017-08-01T00:15:00.000Z,0,
acceleration,2017-08-01T00:20:00.000Z,0,
acceleration,2017-08-01T00:25:00.000Z,0,
acceleration,2017-08-01T00:30:00.000Z,0,
acceleration,2017-08-01T00:35:00.000Z,0,
acceleration,2017-08-01T00:40:00.000Z,0,
acceleration,2017-08-01T00:45:00.000Z,0,
acceleration,2017-08-01T00:50:00.000Z,0,
acceleration,2017-08-01T00:55:00.000Z,0,
acceleration,2017-08-01T01:00:00.000Z,0,
acceleration,2017-08-01T01:05:00.000Z,0,
acceleration,2017-08-01T01:10:00.000Z,0,
acceleration,2017-08-01T01:15:00.000Z,0,
acceleration,2017-08-01T01:20:00.000Z,0,
acceleration,2017-08-01T01:25:00.000Z,0,
acceleration,2017-08-01T01:30:00.000Z,0,
acceleration,2017-08-01T01:35:00.000Z,0,
acceleration,2017-08-01T01:40:00.000Z,0,
acceleration,2017-08-01T01:45:00.000Z,0,
acceleration,2017-08-01T01:50:00.000Z,0,
acceleration,2017-08-01T01:55:00.000Z,0,
acceleration,2017-08-01T02:00:00.000Z,0,
acceleration,2017-08-01T02:05:00.000Z,0,
acceleration,2017-08-01T02:10:00.000Z,0,
acceleration,2017-08-01T02:15:00.000Z,0,
acceleration,2017-08-01T02:20:00.000Z,0,
acceleration,2017-08-01T02:25:00.000Z,0,
acceleration,2017-08-01T02:30:00.000Z,0,
acceleration,2017-08-01T02:35:00.000Z,0,
acceleration,2017-08-01T02:40:00.000Z,2,
acceleration,2017-08-01T02:45:00.000Z,0,
acceleration,2017-08-01T02:50:00.000Z,3,
acceleration,2017-08-01T02:55:00.000Z,0,
acceleration,2017-08-01T03:00:00.000Z,1,
acceleration,2017-08-01T03:05:00.000Z,0,
acceleration,2017-08-01T03:10:00.000Z,0,
acceleration,2017-08-01T03:15:00.000Z,45,
acceleration,2017-08-01T03:20:00.000Z,1,
acceleration,2017-08-01T03:25:00.000Z,0,
acceleration,2017-08-01T03:30:00.000Z,11,
acceleration,2017-08-01T03:35:00.000Z,9,
acceleration,2017-08-01T03:40:00.000Z,0,
acceleration,2017-08-01T03:45:00.000Z,0,
acceleration,2017-08-01T03:50:00.000Z,37,
acceleration,2017-08-01T03:55:00.000Z,0,
acceleration,2017-08-01T04:00:00.000Z,13,
acceleration,2017-08-01T04:05:00.000Z,2,
acceleration,2017-08-01T04:10:00.000Z,0,
acceleration,2017-08-01T04:15:00.000Z,1,
acceleration,2017-08-01T04:20:00.000Z,1,
acceleration,2017-08-01T04:25:00.000Z,2,
acceleration,2017-08-01T04:30:00.000Z,0,
acceleration,2017-08-01T04:35:00.000Z,6,
acceleration,2017-08-01T04:40:00.000Z,0,
acceleration,2017-08-01T04:45:00.000Z,0,
acceleration,2017-08-01T04:50:00.000Z,0,
acceleration,2017-08-01T04:55:00.000Z,1,
acceleration,2017-08-01T05:00:00.000Z,0,
acceleration,2017-08-01T05:05:00.000Z,0,
acceleration,2017-08-01T05:10:00.000Z,2,
acceleration,2017-08-01T05:15:00.000Z,2,
acceleration,2017-08-01T05:20:00.000Z,0,
acceleration,2017-08-01T05:25:00.000Z,0,
acceleration,2017-08-01T05:30:00.000Z,0,
acceleration,2017-08-01T05:35:00.000Z,0,
acceleration,2017-08-01T05:40:00.000Z,1,
acceleration,2017-08-01T05:45:00.000Z,1,
acceleration,2017-08-01T05:50:00.000Z,5,
acceleration,2017-08-01T05:55:00.000Z,0,
acceleration,2017-08-01T06:00:00.000Z,4,
acceleration,2017-08-01T06:05:00.000Z,5,
acceleration,2017-08-01T06:10:00.000Z,8,
acceleration,2017-08-01T06:15:00.000Z,9,
acceleration,2017-08-01T06:20:00.000Z,4,
acceleration,2017-08-01T06:25:00.000Z,0,
acceleration,2017-08-01T06:30:00.000Z,0,
acceleration,2017-08-01T06:35:00.000Z,1,
acceleration,2017-08-01T06:40:00.000Z,0,
acceleration,2017-08-01T06:45:00.000Z,1,
acceleration,2017-08-01T06:50:00.000Z,1,
acceleration,2017-08-01T06:55:00.000Z,0,
acceleration,2017-08-01T07:00:00.000Z,0,
acceleration,2017-08-01T07:05:00.000Z,0,
acceleration,2017-08-01T07:10:00.000Z,0,
acceleration,2017-08-01T07:15:00.000Z,0,
acceleration,2017-08-01T07:20:00.000Z,6,
acceleration,2017-08-01T07:25:00.000Z,0,
acceleration,2017-08-01T07:30:00.000Z,1,
acceleration,2017-08-01T07:35:00.000Z,5,
acceleration,2017-08-01T07:40:00.000Z,1,
acceleration,2017-08-01T07:45:00.000Z,0,
acceleration,2017-08-01T07:50:00.000Z,0,
acceleration,2017-08-01T07:55:00.000Z,0,
acceleration,2017-08-01T08:00:00.000Z,1,
acceleration,2017-08-01T08:05:00.000Z,0,
acceleration,2017-08-01T08:10:00.000Z,0,
acceleration,2017-08-01T08:15:00.000Z,0,
acceleration,2017-08-01T08:20:00.000Z,0,
acceleration,2017-08-01T08:25:00.000Z,0,
acceleration,2017-08-01T08:30:00.000Z,0,
acceleration,2017-08-01T08:35:00.000Z,0,
acceleration,2017-08-01T08:40:00.000Z,0,
acceleration,2017-08-01T08:45:00.000Z,0,
acceleration,2017-08-01T08:50:00.000Z,4,
acceleration,2017-08-01T08:55:00.000Z,0,
acceleration,2017-08-01T09:00:00.000Z,0,
acceleration,2017-08-01T09:05:00.000Z,0,
acceleration,2017-08-01T09:10:00.000Z,0,
acceleration,2017-08-01T09:15:00.000Z,1,
acceleration,2017-08-01T09:20:00.000Z,1,
acceleration,2017-08-01T09:25:00.000Z,0,
acceleration,2017-08-01T09:30:00.000Z,0,
acceleration,2017-08-01T09:35:00.000Z,2,
acceleration,2017-08-01T09:40:00.000Z,0,
acceleration,2017-08-01T09:45:00.000Z,0,
acceleration,2017-08-01T09:50:00.000Z,8,
acceleration,2017-08-01T09:55:00.000Z,0,
acceleration,2017-08-01T10:00:00.000Z,0,
acceleration,2017-08-01T10:05:00.000Z,8,
acceleration,2017-08-01T10:10:00.000Z,0,
acceleration,2017-08-01T10:15:00.000Z,0,
acceleration,2017-08-01T10:20:00.000Z,2,
acceleration,2017-08-01T10:25:00.000Z,0,
acceleration,2017-08-01T10:30:00.000Z,0,
acceleration,2017-08-01T10:35:00.000Z,0,
acceleration,2017-08-01T10:40:00.000Z,4,
acceleration,2017-08-01T10:45:00.000Z,0,
acceleration,2017-08-01T10:50:00.000Z,2,
acceleration,2017-08-01T10:55:00.000Z,0,
acceleration,2017-08-01T11:00:00.000Z,0,
acceleration,2017-08-01T11:05:00.000Z,0,
acceleration,2017-08-01T11:10:00.000Z,0,
acceleration,2017-08-01T11:15:00.000Z,1,
acceleration,2017-08-01T11:20:00.000Z,0,
acceleration,2017-08-01T11:25:00.000Z,0,
acceleration,2017-08-01T11:30:00.000Z,0,
acceleration,2017-08-01T11:35:00.000Z,0,
acceleration,2017-08-01T11:40:00.000Z,0,
acceleration,2017-08-01T11:45:00.000Z,0,
acceleration,2017-08-01T11:50:00.000Z,1,
acceleration,2017-08-01T11:55:00.000Z,0,
acceleration,2017-08-01T12:00:00.000Z,4,
acceleration,2017-08-01T12:05:00.000Z,2,
acceleration,2017-08-01T12:10:00.000Z,2,
acceleration,2017-08-01T12:15:00.000Z,0,
acceleration,2017-08-01T12:20:00.000Z,6,
acceleration,2017-08-01T12:25:00.000Z,2,
acceleration,2017-08-01T12:30:00.000Z,0,
acceleration,2017-08-01T12:35:00.000Z,0,
acceleration,2017-08-01T12:40:00.000Z,0,
acceleration,2017-08-01T12:45:00.000Z,3,
acceleration,2017-08-01T12:50:00.000Z,0,
acceleration,2017-08-01T12:55:00.000Z,0,
acceleration,2017-08-01T13:00:00.000Z,5,
acceleration,2017-08-01T13:05:00.000Z,7,
acceleration,2017-08-01T13:10:00.000Z,0,
acceleration,2017-08-01T13:15:00.000Z,0,
acceleration,2017-08-01T13:20:00.000Z,0,
acceleration,2017-08-01T13:25:00.000Z,0,
acceleration,2017-08-01T13:30:00.000Z,5,
acceleration,2017-08-01T13:35:00.000Z,0,
acceleration,2017-08-01T13:40:00.000Z,0,
acceleration,2017-08-01T13:45:00.000Z,1,
acceleration,2017-08-01T13:50:00.000Z,3,
acceleration,2017-08-01T13:55:00.000Z,0,
acceleration,2017-08-01T14:00:00.000Z,0,
acceleration,2017-08-01T14:05:00.000Z,0,
acceleration,2017-08-01T14:10:00.000Z,5,
acceleration,2017-08-01T14:15:00.000Z,0,
acceleration,2017-08-01T14:20:00.000Z,0,
acceleration,2017-08-01T14:25:00.000Z,0,
acceleration,2017-08-01T14:30:00.000Z,3,
acceleration,2017-08-01T14:35:00.000Z,5,
acceleration,2017-08-01T14:40:00.000Z,0,
acceleration,2017-08-01T14:45:00.000Z,1,
acceleration,2017-08-01T14:50:00.000Z,0,
acceleration,2017-08-01T14:55:00.000Z,0,
acceleration,2017-08-01T15:00:00.000Z,7,
acceleration,2017-08-01T15:05:00.000Z,7,
acceleration,2017-08-01T15:10:00.000Z,0,
acceleration,2017-08-01T15:15:00.000Z,0,
acceleration,2017-08-01T15:20:00.000Z,1,
acceleration,2017-08-01T15:25:00.000Z,8,
acceleration,2017-08-01T15:30:00.000Z,1,
acceleration,2017-08-01T15:35:00.000Z,1,
acceleration,2017-08-01T15:40:00.000Z,2,
acceleration,2017-08-01T15:45:00.000Z,0,
acceleration,2017-08-01T15:50:00.000Z,4,
acceleration,2017-08-01T15:55:00.000Z,0,
acceleration,2017-08-01T16:00:00.000Z,1,
acceleration,2017-08-01T16:05:00.000Z,0,
acceleration,2017-08-01T16:10:00.000Z,2,
acceleration,2017-08-01T16:15:00.000Z,2,
acceleration,2017-08-01T16:20:00.000Z,0,
acceleration,2017-08-01T16:25:00.000Z,1,
acceleration,2017-08-01T16:30:00.000Z,0,
acceleration,2017-08-01T16:35:00.000Z,1,
acceleration,2017-08-01T16:40:00.000Z,41,
acceleration,2017-08-01T16:45:00.000Z,3,
acceleration,2017-08-01T16:50:00.000Z,7,
acceleration,2017-08-01T16:55:00.000Z,0,
acceleration,2017-08-01T17:00:00.000Z,0,
acceleration,2017-08-01T17:05:00.000Z,0,
acceleration,2017-08-01T17:10:00.000Z,0,
acceleration,2017-08-01T17:15:00.000Z,0,
acceleration,2017-08-01T17:20:00.000Z,12,
acceleration,2017-08-01T17:25:00.000Z,4,
acceleration,2017-08-01T17:30:00.000Z,0,
acceleration,2017-08-01T17:35:00.000Z,0,
acceleration,2017-08-01T17:40:00.000Z,0,
acceleration,2017-08-01T17:45:00.000Z,1,
acceleration,2017-08-01T17:50:00.000Z,9,
acceleration,2017-08-01T17:55:00.000Z,2,
acceleration,2017-08-01T18:00:00.000Z,2,
acceleration,2017-08-01T18:05:00.000Z,7,
acceleration,2017-08-01T18:10:00.000Z,0,
acceleration,2017-08-01T18:15:00.000Z,0,
acceleration,2017-08-01T18:20:00.000Z,1,
acceleration,2017-08-01T18:25:00.000Z,1,
acceleration,2017-08-01T18:30:00.000Z,1,
acceleration,2017-08-01T18:35:00.000Z,1,
acceleration,2017-08-01T18:40:00.000Z,0,
acceleration,2017-08-01T18:45:00.000Z,2,
acceleration,2017-08-01T18:50:00.000Z,5,
acceleration,2017-08-01T18:55:00.000Z,1,
acceleration,2017-08-01T19:00:00.000Z,2,
acceleration,2017-08-01T19:05:00.000Z,0,
acceleration,2017-08-01T19:10:00.000Z,0,
acceleration,2017-08-01T19:15:00.000Z,0,
acceleration,2017-08-01T19:20:00.000Z,1,
acceleration,2017-08-01T19:25:00.000Z,0,
acceleration,2017-08-01T19:30:00.000Z,0,
acceleration,2017-08-01T19:35:00.000Z,0,
acceleration,2017-08-01T19:40:00.000Z,0,
acceleration,2017-08-01T19:45:00.000Z,0,
acceleration,2017-08-01T19:50:00.000Z,0,
acceleration,2017-08-01T19:55:00.000Z,0,
acceleration,2017-08-01T20:00:00.000Z,0,
acceleration,2017-08-01T20:05:00.000Z,0,
acceleration,2017-08-01T20:10:00.000Z,1,
acceleration,2017-08-01T20:15:00.000Z,0,
acceleration,2017-08-01T20:20:00.000Z,0,
acceleration,2017-08-01T20:25:00.000Z,0,
acceleration,2017-08-01T20:30:00.000Z,0,
acceleration,2017-08-01T20:35:00.000Z,0,
acceleration,2017-08-01T20:40:00.000Z,0,
acceleration,2017-08-01T20:45:00.000Z,2,
acceleration,2017-08-01T20:50:00.000Z,0,
acceleration,2017-08-01T20:55:00.000Z,0,
acceleration,2017-08-01T21:00:00.000Z,0,
acceleration,2017-08-01T21:05:00.000Z,0,
acceleration,2017-08-01T21:10:00.000Z,1,
acceleration,2017-08-01T21:15:00.000Z,10,
acceleration,2017-08-01T21:20:00.000Z,0,
acceleration,2017-08-01T21:25:00.000Z,0,
acceleration,2017-08-01T21:30:00.000Z,0,
acceleration,2017-08-01T21:35:00.000Z,0,
acceleration,2017-08-01T21:40:00.000Z,0,
acceleration,2017-08-01T21:45:00.000Z,0,
acceleration,2017-08-01T21:50:00.000Z,0,
acceleration,2017-08-01T21:55:00.000Z,0,
acceleration,2017-08-01T22:00:00.000Z,0,
acceleration,2017-08-01T22:05:00.000Z,0,
acceleration,2017-08-01T22:10:00.000Z,0,
acceleration,2017-08-01T22:15:00.000Z,0,
acceleration,2017-08-01T22:20:00.000Z,0,
acceleration,2017-08-01T22:25:00.000Z,0,
acceleration,2017-08-01T22:30:00.000Z,0,
acceleration,2017-08-01T22:35:00.000Z,0,
acceleration,2017-08-01T22:40:00.000Z,0,
acceleration,2017-08-01T22:45:00.000Z,0,
acceleration,2017-08-01T22:50:00.000Z,0,
acceleration,2017-08-01T22:55:00.000Z,0,
acceleration,2017-08-01T23:00:00.000Z,2,
acceleration,2017-08-01T23:05:00.000Z,0,
acceleration,2017-08-01T23:10:00.000Z,0,
acceleration,2017-08-01T23:15:00.000Z,0,
acceleration,2017-08-01T23:20:00.000Z,0,
acceleration,2017-08-01T23:25:00.000Z,0,
acceleration,2017-08-01T23:30:00.000Z,0,
acceleration,2017-08-01T23:35:00.000Z,0,
acceleration,2017-08-01T23:40:00.000Z,0,
acceleration,2017-08-01T23:45:00.000Z,0,
acceleration,2017-08-01T23:50:00.000Z,0,
acceleration,2017-08-01T23:55:00.000Z,0,
